/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_545	scaffold_seqid486
scaffold_546	scaffold_seqid487
scaffold_547	scaffold_seqid488
scaffold_548	scaffold_seqid489
scaffold_549	scaffold_seqid490
scaffold_550	scaffold_seqid491
scaffold_551	scaffold_seqid492
scaffold_552	scaffold_seqid493
scaffold_553	scaffold_seqid494
scaffold_554	scaffold_seqid495
scaffold_555	scaffold_seqid496
scaffold_556	scaffold_seqid497
scaffold_557	scaffold_seqid498
scaffold_558	scaffold_seqid499
scaffold_559	scaffold_seqid500
scaffold_560	scaffold_seqid501
scaffold_561	scaffold_seqid502
scaffold_562	scaffold_seqid503
scaffold_563	scaffold_seqid504
scaffold_564	scaffold_seqid505
scaffold_565	scaffold_seqid506
scaffold_566	scaffold_seqid507
scaffold_567	scaffold_seqid508
scaffold_568	scaffold_seqid509
scaffold_569	scaffold_seqid510
scaffold_570	scaffold_seqid511
scaffold_571	scaffold_seqid512
scaffold_572	scaffold_seqid513
scaffold_573	scaffold_seqid514
scaffold_574	scaffold_seqid515
scaffold_575	scaffold_seqid516
scaffold_576	scaffold_seqid517
scaffold_577	scaffold_seqid518
scaffold_578	scaffold_seqid519
scaffold_579	scaffold_seqid520
scaffold_580	scaffold_seqid521
scaffold_581	scaffold_seqid522
scaffold_582	scaffold_seqid523
scaffold_583	scaffold_seqid524
scaffold_584	scaffold_seqid525
scaffold_585	scaffold_seqid526
scaffold_586	scaffold_seqid527
scaffold_587	scaffold_seqid528
scaffold_588	scaffold_seqid529
scaffold_589	scaffold_seqid530
scaffold_590	scaffold_seqid531
scaffold_591	scaffold_seqid532
scaffold_592	scaffold_seqid533
scaffold_593	scaffold_seqid534
scaffold_594	scaffold_seqid535
scaffold_595	scaffold_seqid536
scaffold_596	scaffold_seqid537
scaffold_597	scaffold_seqid538
scaffold_598	scaffold_seqid539
scaffold_599	scaffold_seqid540
scaffold_600	scaffold_seqid541
scaffold_601	scaffold_seqid542
scaffold_602	scaffold_seqid543
scaffold_603	scaffold_seqid544
scaffold_604	scaffold_seqid545
scaffold_605	scaffold_seqid546
scaffold_606	scaffold_seqid547
scaffold_607	scaffold_seqid548
scaffold_608	scaffold_seqid549
scaffold_609	scaffold_seqid550
scaffold_610	scaffold_seqid551
scaffold_611	scaffold_seqid552
scaffold_612	scaffold_seqid553
scaffold_613	scaffold_seqid554
scaffold_615	scaffold_seqid555
scaffold_616	scaffold_seqid556
scaffold_618	scaffold_seqid557
scaffold_619	scaffold_seqid558
scaffold_620	scaffold_seqid559
scaffold_621	scaffold_seqid560
scaffold_622	scaffold_seqid561
scaffold_623	scaffold_seqid562
scaffold_625	scaffold_seqid563
scaffold_626	scaffold_seqid564
scaffold_627	scaffold_seqid565
scaffold_628	scaffold_seqid566
scaffold_629	scaffold_seqid567
scaffold_630	scaffold_seqid568
scaffold_631	scaffold_seqid569
scaffold_632	scaffold_seqid570
scaffold_633	scaffold_seqid571
scaffold_634	scaffold_seqid572
scaffold_635	scaffold_seqid573
scaffold_636	scaffold_seqid574
scaffold_637	scaffold_seqid575
scaffold_638	scaffold_seqid576
scaffold_639	scaffold_seqid577
scaffold_640	scaffold_seqid578
scaffold_641	scaffold_seqid579
scaffold_642	scaffold_seqid580
scaffold_643	scaffold_seqid581
scaffold_644	scaffold_seqid582
scaffold_645	scaffold_seqid583
scaffold_646	scaffold_seqid584
scaffold_647	scaffold_seqid585
scaffold_648	scaffold_seqid586
scaffold_649	scaffold_seqid587
scaffold_650	scaffold_seqid588
scaffold_651	scaffold_seqid589
scaffold_652	scaffold_seqid590
scaffold_653	scaffold_seqid591
scaffold_654	scaffold_seqid592
scaffold_655	scaffold_seqid593
scaffold_656	scaffold_seqid594
scaffold_657	scaffold_seqid595
scaffold_658	scaffold_seqid596
scaffold_659	scaffold_seqid597
scaffold_660	scaffold_seqid598
scaffold_661	scaffold_seqid599
scaffold_662	scaffold_seqid600
scaffold_663	scaffold_seqid601
scaffold_664	scaffold_seqid602
scaffold_665	scaffold_seqid603
scaffold_666	scaffold_seqid604
scaffold_667	scaffold_seqid605
scaffold_668	scaffold_seqid606
scaffold_669	scaffold_seqid607
scaffold_670	scaffold_seqid608
scaffold_671	scaffold_seqid609
scaffold_672	scaffold_seqid610
scaffold_673	scaffold_seqid611
scaffold_674	scaffold_seqid612
scaffold_675	scaffold_seqid613
scaffold_676	scaffold_seqid614
scaffold_677	scaffold_seqid615
scaffold_678	scaffold_seqid616
scaffold_679	scaffold_seqid617
