/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta_contig.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_contigs.fasta
Contig_707	contig_seqid707
Contig_708	contig_seqid708
Contig_709	contig_seqid709
Contig_710	contig_seqid710
Contig_711	contig_seqid711
Contig_712	contig_seqid712
Contig_713	contig_seqid713
Contig_714	contig_seqid714
Contig_715	contig_seqid715
Contig_716	contig_seqid716
Contig_717	contig_seqid717
Contig_718	contig_seqid718
Contig_719	contig_seqid719
Contig_720	contig_seqid720
Contig_721	contig_seqid721
Contig_722	contig_seqid722
Contig_723	contig_seqid723
Contig_724	contig_seqid724
Contig_725	contig_seqid725
Contig_726	contig_seqid726
Contig_727	contig_seqid727
Contig_728	contig_seqid728
Contig_729	contig_seqid729
Contig_730	contig_seqid730
Contig_731	contig_seqid731
Contig_732	contig_seqid732
Contig_733	contig_seqid733
Contig_734	contig_seqid734
Contig_735	contig_seqid735
Contig_736	contig_seqid736
Contig_737	contig_seqid737
Contig_738	contig_seqid738
Contig_739	contig_seqid739
Contig_740	contig_seqid740
Contig_741	contig_seqid741
Contig_742	contig_seqid742
Contig_743	contig_seqid743
Contig_744	contig_seqid744
Contig_745	contig_seqid745
Contig_746	contig_seqid746
Contig_747	contig_seqid747
Contig_748	contig_seqid748
Contig_749	contig_seqid749
Contig_750	contig_seqid750
Contig_751	contig_seqid751
Contig_752	contig_seqid752
Contig_753	contig_seqid753
Contig_754	contig_seqid754
Contig_755	contig_seqid755
Contig_756	contig_seqid756
Contig_757	contig_seqid757
Contig_758	contig_seqid758
Contig_759	contig_seqid759
Contig_760	contig_seqid760
Contig_761	contig_seqid761
Contig_762	contig_seqid762
Contig_763	contig_seqid763
Contig_764	contig_seqid764
Contig_765	contig_seqid765
Contig_766	contig_seqid766
Contig_767	contig_seqid767
Contig_768	contig_seqid768
Contig_769	contig_seqid769
Contig_770	contig_seqid770
Contig_771	contig_seqid771
Contig_772	contig_seqid772
Contig_773	contig_seqid773
Contig_774	contig_seqid774
Contig_775	contig_seqid775
Contig_776	contig_seqid776
Contig_777	contig_seqid777
Contig_778	contig_seqid778
Contig_779	contig_seqid779
Contig_780	contig_seqid780
Contig_781	contig_seqid781
Contig_782	contig_seqid782
Contig_783	contig_seqid783
Contig_784	contig_seqid784
Contig_785	contig_seqid785
Contig_786	contig_seqid786
Contig_787	contig_seqid787
Contig_788	contig_seqid788
Contig_789	contig_seqid789
Contig_790	contig_seqid790
Contig_791	contig_seqid791
Contig_792	contig_seqid792
Contig_793	contig_seqid793
Contig_794	contig_seqid794
Contig_795	contig_seqid795
Contig_796	contig_seqid796
Contig_797	contig_seqid797
Contig_798	contig_seqid798
Contig_799	contig_seqid799
Contig_800	contig_seqid800
Contig_801	contig_seqid801
Contig_802	contig_seqid802
Contig_803	contig_seqid803
Contig_804	contig_seqid804
Contig_805	contig_seqid805
Contig_806	contig_seqid806
Contig_807	contig_seqid807
Contig_808	contig_seqid808
Contig_809	contig_seqid809
Contig_810	contig_seqid810
Contig_811	contig_seqid811
Contig_812	contig_seqid812
Contig_813	contig_seqid813
Contig_814	contig_seqid814
Contig_815	contig_seqid815
Contig_816	contig_seqid816
Contig_817	contig_seqid817
Contig_818	contig_seqid818
Contig_819	contig_seqid819
Contig_820	contig_seqid820
Contig_821	contig_seqid821
Contig_822	contig_seqid822
Contig_823	contig_seqid823
Contig_824	contig_seqid824
Contig_825	contig_seqid825
Contig_826	contig_seqid826
Contig_827	contig_seqid827
Contig_828	contig_seqid828
Contig_829	contig_seqid829
Contig_830	contig_seqid830
Contig_831	contig_seqid831
Contig_832	contig_seqid832
Contig_833	contig_seqid833
Contig_834	contig_seqid834
Contig_835	contig_seqid835
Contig_836	contig_seqid836
Contig_837	contig_seqid837
Contig_838	contig_seqid838
Contig_839	contig_seqid839
Contig_840	contig_seqid840
Contig_841	contig_seqid841
Contig_842	contig_seqid842
Contig_843	contig_seqid843
Contig_844	contig_seqid844
Contig_845	contig_seqid845
Contig_846	contig_seqid846
Contig_847	contig_seqid847
Contig_848	contig_seqid848
Contig_849	contig_seqid849
Contig_850	contig_seqid850
Contig_851	contig_seqid851
Contig_852	contig_seqid852
Contig_853	contig_seqid853
Contig_854	contig_seqid854
Contig_855	contig_seqid855
Contig_856	contig_seqid856
Contig_857	contig_seqid857
Contig_858	contig_seqid858
Contig_859	contig_seqid859
Contig_860	contig_seqid860
Contig_861	contig_seqid861
Contig_862	contig_seqid862
Contig_863	contig_seqid863
Contig_864	contig_seqid864
Contig_865	contig_seqid865
Contig_866	contig_seqid866
Contig_867	contig_seqid867
Contig_868	contig_seqid868
Contig_869	contig_seqid869
Contig_870	contig_seqid870
Contig_871	contig_seqid871
Contig_872	contig_seqid872
Contig_873	contig_seqid873
Contig_874	contig_seqid874
Contig_875	contig_seqid875
Contig_876	contig_seqid876
Contig_877	contig_seqid877
Contig_878	contig_seqid878
Contig_879	contig_seqid879
Contig_880	contig_seqid880
Contig_881	contig_seqid881
Contig_882	contig_seqid882
Contig_883	contig_seqid883
Contig_884	contig_seqid884
Contig_885	contig_seqid885
Contig_886	contig_seqid886
Contig_887	contig_seqid887
Contig_888	contig_seqid888
Contig_889	contig_seqid889
Contig_890	contig_seqid890
Contig_891	contig_seqid891
Contig_892	contig_seqid892
Contig_893	contig_seqid893
Contig_894	contig_seqid894
Contig_895	contig_seqid895
Contig_896	contig_seqid896
Contig_897	contig_seqid897
Contig_898	contig_seqid898
Contig_899	contig_seqid899
Contig_900	contig_seqid900
Contig_901	contig_seqid901
Contig_902	contig_seqid902
Contig_903	contig_seqid903
Contig_904	contig_seqid904
Contig_905	contig_seqid905
Contig_906	contig_seqid906
Contig_907	contig_seqid907
Contig_908	contig_seqid908
Contig_909	contig_seqid909
Contig_910	contig_seqid910
Contig_911	contig_seqid911
Contig_912	contig_seqid912
Contig_913	contig_seqid913
Contig_914	contig_seqid914
Contig_915	contig_seqid915
Contig_916	contig_seqid916
Contig_917	contig_seqid917
Contig_918	contig_seqid918
Contig_919	contig_seqid919
Contig_920	contig_seqid920
Contig_921	contig_seqid921
Contig_922	contig_seqid922
Contig_923	contig_seqid923
Contig_924	contig_seqid924
Contig_925	contig_seqid925
Contig_926	contig_seqid926
Contig_927	contig_seqid927
Contig_928	contig_seqid928
Contig_929	contig_seqid929
Contig_930	contig_seqid930
Contig_931	contig_seqid931
Contig_932	contig_seqid932
Contig_933	contig_seqid933
Contig_934	contig_seqid934
Contig_935	contig_seqid935
Contig_936	contig_seqid936
Contig_937	contig_seqid937
Contig_938	contig_seqid938
Contig_939	contig_seqid939
Contig_940	contig_seqid940
Contig_941	contig_seqid941
Contig_942	contig_seqid942
Contig_943	contig_seqid943
Contig_944	contig_seqid944
Contig_945	contig_seqid945
Contig_946	contig_seqid946
Contig_947	contig_seqid947
Contig_948	contig_seqid948
Contig_949	contig_seqid949
Contig_950	contig_seqid950
Contig_951	contig_seqid951
Contig_952	contig_seqid952
Contig_953	contig_seqid953
Contig_954	contig_seqid954
Contig_955	contig_seqid955
Contig_956	contig_seqid956
Contig_957	contig_seqid957
Contig_958	contig_seqid958
Contig_959	contig_seqid959
Contig_960	contig_seqid960
Contig_961	contig_seqid961
